report_id,source_type,area_name,latitude,longitude,issue_type,description,people_affected,vulnerable_group,timestamp,attachment,urgency_score
1,Form,Ahmedabad,22.118362,72.012157,Medical,Food issue reported in Ahmedabad,17,Disabled,2026-04-17 05:47:33,voice.mp3,4
2,Form,Ahmedabad,22.985199,71.491125,Shelter,Medical issue reported in Ahmedabad,84,None,2026-04-15 03:47:33,voice.mp3,1
3,Call,Surat,22.855691,70.992009,Medical,Food issue reported in Surat,70,Children,2026-04-17 13:47:33,image.jpg,7
4,NGO Report,Navsari,22.118469,71.211621,Education,Shelter issue reported in Navsari,44,Women,2026-04-15 00:47:33,report.pdf,10
5,Form,Surat,22.407883,72.971756,Education,Education issue reported in Surat,64,Elderly,2026-04-17 07:47:33,none,3
6,Call,Surat,21.741225,72.271093,Food,Water issue reported in Surat,96,Children,2026-04-15 11:47:33,none,8
7,WhatsApp,Vadodara,21.261519,72.323334,Shelter,Education issue reported in Vadodara,28,None,2026-04-16 00:47:33,none,10
8,Mobile App,Navsari,21.647657,70.384956,Education,Medical issue reported in Navsari,74,Disabled,2026-04-16 15:47:33,voice.mp3,9
9,NGO Report,Vadodara,20.625017,70.704361,Medical,Medical issue reported in Vadodara,89,Disabled,2026-04-17 10:47:33,voice.mp3,7
10,Call,Ahmedabad,21.625973,70.785791,Food,Water issue reported in Ahmedabad,45,Elderly,2026-04-15 07:47:33,image.jpg,8
11,Mobile App,Navsari,20.457959,70.070817,Food,Shelter issue reported in Navsari,89,None,2026-04-15 11:47:33,none,6
12,Mobile App,Navsari,22.976747,71.401796,Water,Food issue reported in Navsari,91,Women,2026-04-14 20:47:33,report.pdf,8
13,WhatsApp,Navsari,20.392822,71.220108,Education,Shelter issue reported in Navsari,38,Elderly,2026-04-17 08:47:33,none,7
14,WhatsApp,Navsari,22.289324,72.987574,Shelter,Medical issue reported in Navsari,38,Women,2026-04-14 22:47:33,report.pdf,1
15,WhatsApp,Ahmedabad,20.749332,70.071543,Medical,Food issue reported in Ahmedabad,74,Women,2026-04-16 06:47:33,image.jpg,6
16,WhatsApp,Navsari,22.467796,71.435785,Education,Education issue reported in Navsari,95,Elderly,2026-04-16 07:47:33,voice.mp3,3
17,Mobile App,Ahmedabad,20.367437,70.499957,Medical,Shelter issue reported in Ahmedabad,11,Children,2026-04-17 01:47:33,report.pdf,10
18,Form,Ahmedabad,21.197104,71.262622,Medical,Food issue reported in Ahmedabad,81,Elderly,2026-04-15 22:47:33,none,10
19,NGO Report,Vadodara,20.088078,70.763035,Education,Food issue reported in Vadodara,72,Women,2026-04-14 18:47:33,image.jpg,8
20,Form,Navsari,20.366391,71.106068,Medical,Education issue reported in Navsari,3,Disabled,2026-04-15 20:47:33,none,2
21,WhatsApp,Navsari,21.817548,71.8023,Education,Shelter issue reported in Navsari,26,Disabled,2026-04-16 01:47:33,image.jpg,1
22,Call,Navsari,20.06536,71.460256,Food,Medical issue reported in Navsari,33,None,2026-04-17 02:47:33,none,3
23,Mobile App,Ahmedabad,22.968526,71.461937,Education,Shelter issue reported in Ahmedabad,74,Disabled,2026-04-15 04:47:33,report.pdf,9
24,NGO Report,Vadodara,20.191319,72.03522,Medical,Food issue reported in Vadodara,71,Disabled,2026-04-15 11:47:33,voice.mp3,8
25,WhatsApp,Rajkot,20.556717,72.735727,Shelter,Shelter issue reported in Rajkot,48,Disabled,2026-04-14 21:47:33,none,7
26,NGO Report,Rajkot,22.14884,72.10259,Medical,Medical issue reported in Rajkot,72,Children,2026-04-16 19:47:33,image.jpg,9
27,NGO Report,Vadodara,21.693224,70.252757,Medical,Water issue reported in Vadodara,13,None,2026-04-15 23:47:33,none,7
28,Call,Ahmedabad,21.622824,71.305111,Education,Education issue reported in Ahmedabad,6,Children,2026-04-14 23:47:33,voice.mp3,2
29,WhatsApp,Rajkot,21.701348,71.197597,Shelter,Food issue reported in Rajkot,31,None,2026-04-17 09:47:33,none,4
30,Form,Navsari,20.331018,70.315593,Water,Medical issue reported in Navsari,86,None,2026-04-16 19:47:33,voice.mp3,7
31,Call,Ahmedabad,22.026158,70.225961,Water,Food issue reported in Ahmedabad,62,None,2026-04-16 17:47:33,image.jpg,7
32,Mobile App,Navsari,21.479503,72.577971,Education,Medical issue reported in Navsari,6,Women,2026-04-17 14:47:33,voice.mp3,1
33,Form,Ahmedabad,21.034613,72.544133,Shelter,Food issue reported in Ahmedabad,40,Elderly,2026-04-15 11:47:33,none,10
34,WhatsApp,Surat,21.088905,70.230042,Shelter,Medical issue reported in Surat,57,Women,2026-04-16 06:47:33,report.pdf,2
35,WhatsApp,Vadodara,20.74932,72.859245,Water,Education issue reported in Vadodara,7,Elderly,2026-04-15 00:47:33,none,1
36,WhatsApp,Ahmedabad,20.58402,72.053189,Water,Food issue reported in Ahmedabad,32,Disabled,2026-04-16 09:47:33,report.pdf,5
37,Call,Ahmedabad,22.375258,71.841166,Medical,Shelter issue reported in Ahmedabad,64,Women,2026-04-16 00:47:33,none,9
38,WhatsApp,Rajkot,20.291064,70.77006,Shelter,Shelter issue reported in Rajkot,94,Women,2026-04-14 18:47:33,report.pdf,2
39,WhatsApp,Vadodara,22.335103,72.911291,Education,Water issue reported in Vadodara,68,Disabled,2026-04-16 17:47:33,image.jpg,1
40,WhatsApp,Rajkot,21.691807,71.396511,Water,Food issue reported in Rajkot,31,None,2026-04-16 07:47:33,image.jpg,7
41,NGO Report,Vadodara,22.629946,71.128778,Food,Shelter issue reported in Vadodara,43,None,2026-04-14 17:47:33,report.pdf,8
42,Mobile App,Navsari,20.288344,71.297109,Medical,Shelter issue reported in Navsari,59,Women,2026-04-16 16:47:33,report.pdf,10
43,WhatsApp,Surat,22.779842,70.975182,Food,Food issue reported in Surat,56,None,2026-04-15 13:47:33,report.pdf,2
44,NGO Report,Vadodara,20.145868,72.338489,Food,Water issue reported in Vadodara,7,None,2026-04-14 22:47:33,voice.mp3,6
45,Call,Rajkot,22.809355,70.410736,Water,Medical issue reported in Rajkot,10,Elderly,2026-04-17 12:47:33,image.jpg,9
46,WhatsApp,Vadodara,21.588474,72.677359,Food,Water issue reported in Vadodara,4,Disabled,2026-04-17 01:47:33,voice.mp3,2
47,NGO Report,Navsari,21.532795,70.154704,Water,Shelter issue reported in Navsari,12,Elderly,2026-04-15 13:47:33,none,4
48,Call,Navsari,20.603977,72.158996,Shelter,Shelter issue reported in Navsari,8,None,2026-04-16 07:47:33,report.pdf,3
49,Form,Vadodara,22.440316,70.487562,Water,Food issue reported in Vadodara,47,None,2026-04-16 09:47:33,voice.mp3,2
50,NGO Report,Navsari,20.204029,72.082235,Food,Medical issue reported in Navsari,89,Elderly,2026-04-17 13:47:33,report.pdf,5
51,NGO Report,Navsari,22.211597,70.291867,Water,Shelter issue reported in Navsari,19,Women,2026-04-15 07:47:33,report.pdf,9
52,Form,Surat,22.110728,71.041264,Shelter,Education issue reported in Surat,64,Elderly,2026-04-15 14:47:33,image.jpg,7
53,Call,Navsari,21.553928,70.503219,Food,Food issue reported in Navsari,48,None,2026-04-16 14:47:33,none,5
54,Call,Navsari,22.399613,70.572276,Food,Shelter issue reported in Navsari,34,Children,2026-04-17 10:47:33,image.jpg,2
55,Form,Rajkot,20.860398,72.551679,Medical,Shelter issue reported in Rajkot,100,Women,2026-04-15 19:47:33,voice.mp3,10
56,Call,Navsari,20.358739,71.509007,Medical,Water issue reported in Navsari,32,Children,2026-04-16 04:47:33,none,10
57,WhatsApp,Rajkot,22.386581,72.966913,Water,Medical issue reported in Rajkot,10,Elderly,2026-04-16 15:47:33,image.jpg,1
58,Mobile App,Ahmedabad,20.07018,70.976824,Medical,Education issue reported in Ahmedabad,50,None,2026-04-17 05:47:33,voice.mp3,6
